ts,u,i,label,idx
41547,1,2,u0_i1,0
42253,2,1,u1_i0,1
42857,1,5,u0_i4,2
43181,5,1,u4_i0,3
43583,1,3,u0_i2,4
43907,3,1,u2_i0,5
44421,1,6,u0_i5,6
44745,6,1,u5_i0,7
45361,1,2,u0_i1,8
45685,2,1,u1_i0,9
46305,1,6,u0_i5,10
46629,6,1,u5_i0,11
47128,1,6,u0_i5,12
47448,6,1,u5_i0,13
47861,1,4,u0_i3,14
48185,4,1,u3_i0,15
48790,1,5,u0_i4,16
49113,5,1,u4_i0,17
49731,1,5,u0_i4,18
50053,5,1,u4_i0,19
50439,1,6,u0_i5,20
50763,6,1,u5_i0,21
51372,1,5,u0_i4,22
51695,5,1,u4_i0,23
52261,1,5,u0_i4,24
52580,5,1,u4_i0,25
53056,1,5,u0_i4,26
53376,5,1,u4_i0,27
53797,1,5,u0_i4,28
54117,5,1,u4_i0,29
54503,1,3,u0_i2,30
54827,3,1,u2_i0,31
55217,1,2,u0_i1,32
55541,2,1,u1_i0,33
56124,1,5,u0_i4,34
56450,5,1,u4_i0,35
56906,1,6,u0_i5,36
57230,6,1,u5_i0,37
57615,1,4,u0_i3,38
57939,4,1,u3_i0,39
58412,1,5,u0_i4,40
58735,5,1,u4_i0,41
59312,1,2,u0_i1,42
59636,2,1,u1_i0,43
60135,1,4,u0_i3,44
60459,4,1,u3_i0,45
60997,1,5,u0_i4,46
61321,5,1,u4_i0,47
61887,1,3,u0_i2,48
62210,3,1,u2_i0,49
62757,1,5,u0_i4,50
63084,5,1,u4_i0,51
63502,1,2,u0_i1,52
63825,2,1,u1_i0,53
64328,1,6,u0_i5,54
64652,6,1,u5_i0,55
65113,1,4,u0_i3,56
65439,4,1,u3_i0,57
65873,1,5,u0_i4,58
66196,5,1,u4_i0,59
66637,1,4,u0_i3,60
66961,4,1,u3_i0,61
67511,1,6,u0_i5,62
67838,6,1,u5_i0,63
68455,1,4,u0_i3,64
68778,4,1,u3_i0,65
69192,1,2,u0_i1,66
69515,2,1,u1_i0,67
69957,1,6,u0_i5,68
70283,6,1,u5_i0,69
70726,1,6,u0_i5,70
71048,6,1,u5_i0,71
71485,1,6,u0_i5,72
71808,6,1,u5_i0,73
72274,1,2,u0_i1,74
72600,2,1,u1_i0,75
73041,1,5,u0_i4,76
73365,5,1,u4_i0,77
73861,1,3,u0_i2,78
74188,3,1,u2_i0,79
74772,1,4,u0_i3,80
75096,4,1,u3_i0,81
75612,1,6,u0_i5,82
75935,6,1,u5_i0,83
76384,1,5,u0_i4,84
76711,5,1,u4_i0,85
77277,1,3,u0_i2,86
77604,3,1,u2_i0,87
78124,1,2,u0_i1,88
78446,2,1,u1_i0,89
78837,1,4,u0_i3,90
79161,4,1,u3_i0,91
79734,1,6,u0_i5,92
80057,6,1,u5_i0,93
80467,1,4,u0_i3,94
80790,4,1,u3_i0,95
81286,1,2,u0_i1,96
81610,2,1,u1_i0,97
82070,1,2,u0_i1,98
