Value,Consecutive Count,onset
0,148576,0
99,1029,148576
0,4013,149605
99,1025,153618
0,3014,154643
99,1028,157657
0,2011,158685
99,1032,160696
0,1012,161728
99,1030,162740
0,2419,163770
1,2825,166189
0,2416,169014
4,1296,171430
0,1609,172726
2,1293,174335
0,2058,175628
5,1296,177686
0,2465,178982
1,1294,181447
0,2480,182741
5,1296,185221
0,1997,186517
5,1279,188514
0,1653,189793
3,1296,191446
0,2418,192742
4,1295,195160
0,2470,196455
4,1290,198925
0,1542,200215
5,1296,201757
0,2435,203053
4,1293,205488
0,2266,206781
4,1276,209047
0,1902,210323
4,1281,212225
0,1684,213506
4,1280,215190
0,1544,216470
2,1295,218014
0,1559,219309
1,1296,220868
0,2334,222164
4,1302,224498
0,1824,225800
5,1296,227624
0,1543,228920
3,1296,230463
0,1892,231759
4,1290,233651
0,2310,234941
1,1294,237251
0,1996,238545
3,1296,240541
0,2153,241837
4,1295,243990
0,2264,245285
2,1293,247549
0,2189,248842
4,1306,251031
0,1672,252337
1,1293,254009
0,2010,255302
5,1296,257312
0,1844,258608
3,1307,260452
0,1734,261759
4,1293,263493
0,1763,264786
3,1295,266549
0,2203,267844
5,1306,270047
0,2469,271353
3,1292,273822
0,1657,275114
1,1291,276771
0,1767,278062
5,1306,279829
0,1769,281135
5,1290,282904
0,1749,284194
5,1292,285943
0,1861,287235
1,1306,289096
0,1763,290402
4,1297,292165
0,1985,293462
2,1305,295447
0,2339,296752
3,1296,299091
0,2062,300387
5,1291,302449
0,1798,303740
4,1308,305538
0,2264,306846
2,1308,309110
0,2078,310418
1,1291,312496
0,1563,313787
3,1294,315350
0,2292,316644
5,1295,318936
0,1639,320231
3,1293,321870
0,1983,323163
1,1294,325146
0,1841,326440
1,1279,328281
0,2314,329560
2,1306,331874
0,2047,333180
1,1291,335227
0,2111,336518
2,1290,338629
0,2167,339919
4,1297,342086
0,2261,343383
3,1297,345644
0,1589,346941
2,1297,348530
0,2415,349827
1,1297,352242
0,2339,353539
3,1296,355878
0,2511,357174
1,1296,359685
0,1950,360981
1,1278,362931
0,2476,364209
1,1285,366685
0,2278,367970
5,1294,370248
0,2381,371542
1,1301,373923
0,1905,375224
2,1294,377129
0,2312,378423
3,1306,380735
0,2418,382041
1,1294,384459
0,1779,385753
1,1280,387532
0,1637,388812
5,1296,390449
0,2091,391745
3,1295,393836
0,1655,395131
5,1293,396786
