Value,First Occurrence Position
0,"(0, 0)"
99,"(148576, 0)"
0,"(149605, 0)"
99,"(153618, 0)"
0,"(154643, 0)"
99,"(157657, 0)"
0,"(158685, 0)"
99,"(160696, 0)"
0,"(161728, 0)"
99,"(162740, 0)"
0,"(163770, 0)"
1,"(166189, 0)"
0,"(169014, 0)"
4,"(171430, 0)"
0,"(172726, 0)"
2,"(174335, 0)"
0,"(175628, 0)"
5,"(177686, 0)"
0,"(178982, 0)"
1,"(181447, 0)"
0,"(182741, 0)"
5,"(185221, 0)"
0,"(186517, 0)"
5,"(188514, 0)"
0,"(189793, 0)"
3,"(191446, 0)"
0,"(192742, 0)"
4,"(195160, 0)"
0,"(196455, 0)"
4,"(198925, 0)"
0,"(200215, 0)"
5,"(201757, 0)"
0,"(203053, 0)"
4,"(205488, 0)"
0,"(206781, 0)"
4,"(209047, 0)"
0,"(210323, 0)"
4,"(212225, 0)"
0,"(213506, 0)"
4,"(215190, 0)"
0,"(216470, 0)"
2,"(218014, 0)"
0,"(219309, 0)"
1,"(220868, 0)"
0,"(222164, 0)"
4,"(224498, 0)"
0,"(225800, 0)"
5,"(227624, 0)"
0,"(228920, 0)"
3,"(230463, 0)"
0,"(231759, 0)"
4,"(233651, 0)"
0,"(234941, 0)"
1,"(237251, 0)"
0,"(238545, 0)"
3,"(240541, 0)"
0,"(241837, 0)"
4,"(243990, 0)"
0,"(245285, 0)"
2,"(247549, 0)"
0,"(248842, 0)"
4,"(251031, 0)"
0,"(252337, 0)"
1,"(254009, 0)"
0,"(255302, 0)"
5,"(257312, 0)"
0,"(258608, 0)"
3,"(260452, 0)"
0,"(261759, 0)"
4,"(263493, 0)"
0,"(264786, 0)"
3,"(266549, 0)"
0,"(267844, 0)"
5,"(270047, 0)"
0,"(271353, 0)"
3,"(273822, 0)"
0,"(275114, 0)"
1,"(276771, 0)"
0,"(278062, 0)"
5,"(279829, 0)"
0,"(281135, 0)"
5,"(282904, 0)"
0,"(284194, 0)"
5,"(285943, 0)"
0,"(287235, 0)"
1,"(289096, 0)"
0,"(290402, 0)"
4,"(292165, 0)"
0,"(293462, 0)"
2,"(295447, 0)"
0,"(296752, 0)"
3,"(299091, 0)"
0,"(300387, 0)"
5,"(302449, 0)"
0,"(303740, 0)"
4,"(305538, 0)"
0,"(306846, 0)"
2,"(309110, 0)"
0,"(310418, 0)"
1,"(312496, 0)"
0,"(313787, 0)"
3,"(315350, 0)"
0,"(316644, 0)"
5,"(318936, 0)"
0,"(320231, 0)"
3,"(321870, 0)"
0,"(323163, 0)"
1,"(325146, 0)"
