Target,Neibour,I,J,Value
1,1,9,9,12912.434
3,3,3,3,10108.016
5,5,5,5,9102.837
7,7,7,7,6705.9204
2,2,8,8,6538.3315
10,10,10,10,6315.947
8,8,8,8,6119.14
4,4,4,4,5980.8384
4,4,10,10,5827.5625
8,8,5,5,5707.419
2,2,2,2,5468.236
6,6,6,6,5385.4106
6,6,7,7,4406.377
1,8,9,9,3558.9668
3,3,3,4,3097.0303
3,1,3,3,2303.6934
7,7,8,8,2246.0608
6,4,7,7,2206.5237
2,2,8,6,2117.3135
1,1,1,1,2089.1658
4,10,10,10,2053.2708
5,5,3,3,1973.0538
5,5,5,9,1952.6936
7,7,4,4,1797.0042
2,5,5,5,1733.8773
6,6,5,5,1681.8121
5,5,1,1,1663.5133
3,3,10,10,1616.3179
2,6,8,8,1583.5659
5,5,8,8,1508.2261
4,4,1,1,1434.0374
8,8,5,9,1385.057
6,6,6,1,1355.0217
6,6,7,8,1336.4962
3,3,7,7,1315.4917
6,6,4,4,1286.2397
4,4,9,9,1213.6049
10,10,10,7,1165.8384
10,7,7,7,1160.7827
4,3,3,3,1143.2843
7,7,7,8,1140.7039
5,2,2,2,1136.1224
6,6,1,1,1102.8357
4,4,5,5,1100.7083
10,10,6,6,1099.5461
7,7,10,10,1097.9062
2,2,2,5,1075.1094
8,8,4,4,1072.306
10,4,10,10,1044.3655
10,5,5,5,1035.4948
8,8,6,6,1009.88586
6,8,5,5,978.7754
4,4,10,7,973.33905
1,8,5,5,960.6536
5,5,5,10,951.22577
3,4,4,4,928.53906
7,8,8,8,925.1174
8,8,2,2,899.24426
2,2,3,3,879.7713
5,10,10,10,861.7525
8,8,7,7,847.92017
7,7,2,2,839.0235
7,3,3,3,825.60596
3,3,10,1,822.68634
7,7,4,2,815.72705
8,8,8,6,815.0748
7,10,7,7,809.7875
4,4,4,2,784.415
4,2,2,2,779.616
8,6,6,6,763.11285
6,5,5,5,751.0222
5,2,8,8,746.16656
5,5,5,2,743.83636
6,6,5,10,742.3452
5,5,8,1,735.6194
4,6,7,7,729.26874
6,3,3,3,712.98065
7,10,10,10,710.0402
6,1,1,1,704.5766
3,3,7,6,697.5493
8,5,5,5,696.0621
8,1,9,9,677.28894
7,7,6,6,675.2286
3,4,10,10,667.9465
6,2,8,8,654.6699
7,7,1,1,652.10297
4,1,9,9,650.4794
6,6,6,5,627.65497
9,9,9,9,613.30707
6,8,6,6,598.7194
8,8,1,1,590.2635
8,8,8,1,579.3888
6,6,4,10,574.3778
10,4,4,4,562.4039
8,2,2,2,559.6057
7,6,6,6,537.81775
5,6,5,5,534.5391
7,3,4,4,534.4215
5,2,5,5,531.698
8,3,3,3,530.41113
1,3,3,3,528.56635
6,4,10,10,518.8711
4,4,4,10,504.8203
3,7,4,4,503.1637
2,6,7,7,496.09357
2,3,3,3,494.70206
3,4,1,1,494.26865
8,7,7,7,493.76828
4,5,5,5,491.80002
8,1,1,1,490.38513
8,8,2,5,487.5149
3,7,7,7,486.1877
5,1,9,9,469.4404
7,7,7,6,467.29233
2,2,2,3,464.34143
7,7,8,2,458.62592
10,10,3,3,456.36908
8,7,8,8,452.2697
2,2,3,8,445.95294
10,10,8,8,441.85443
6,10,10,10,439.25406
8,8,8,2,435.81927
8,8,6,5,435.54214
6,1,9,9,433.28464
4,3,1,1,431.91913
4,4,4,5,431.53168
6,8,8,8,430.2947
7,7,7,9,429.76385
7,2,8,8,429.1801
3,8,8,8,424.72525
10,1,1,1,424.5679
2,5,2,2,423.84436
7,2,2,2,421.70755
7,10,8,8,421.68265
10,6,6,6,417.09338
2,2,2,9,415.80246
8,8,8,9,413.62943
