Neibour,neibour_inverse,Neibour-start,start_inverse,Neibour-end,end_inverse,Score
0,0,0,0,0,0,57884
0,0,1,1,1,1,22489
0,0,-1,0,-1,0,6946
0,0,-3,1,-3,1,6785
0,0,2,1,2,1,6357
0,0,-2,1,-2,1,5949
0,0,0,1,0,1,4768
0,0,0,0,1,0,4699
2,1,-1,0,-1,0,4111
0,0,1,0,1,0,3820
0,1,0,0,0,0,3715
3,0,0,0,0,0,3267
1,0,0,0,0,0,3231
-1,0,0,0,0,0,3137
-2,0,2,0,2,0,2985
0,0,-3,0,-3,0,2614
0,0,-1,1,-1,1,2611
-3,1,0,0,0,0,2581
0,0,0,0,-3,1,2456
0,0,-2,0,-2,0,2430
-1,1,0,0,0,0,2390
0,0,0,0,-4,1,2306
-1,1,0,1,0,1,2305
0,0,0,0,3,0,2284
-2,1,0,0,0,0,2245
0,0,1,1,3,1,2117
2,0,0,0,0,0,2108
-3,0,0,0,0,0,2081
1,1,0,0,0,0,2069
-2,0,0,0,0,0,2002
0,0,0,0,0,1,1969
0,0,2,0,2,0,1942
2,1,0,0,0,0,1817
0,0,0,0,-1,0,1816
0,0,-4,0,-4,0,1761
0,0,-1,0,-2,0,1634
3,1,-2,0,-2,0,1621
-4,1,0,0,0,0,1565
-3,0,3,0,3,0,1482
-3,0,1,1,1,1,1442
0,1,0,1,0,1,1388
0,0,2,1,-1,0,1385
0,0,4,0,4,0,1373
0,0,0,0,-2,0,1354
4,1,0,0,0,0,1318
0,0,0,0,2,0,1217
-2,1,1,1,1,1,1200
0,0,-4,1,-4,1,1150
3,1,-3,1,-3,1,1116
-1,0,1,0,1,0,1089
3,1,0,0,0,0,1041
-2,0,2,1,2,1,1036
0,0,0,0,-3,0,1034
0,0,-3,1,0,1,1014
2,1,2,1,2,1,985
0,0,-2,1,-2,0,950
1,1,-1,0,-1,0,944
0,0,0,0,-2,1,845
-1,1,1,1,1,1,831
0,0,0,1,-2,1,815
-3,1,1,1,1,1,809
0,0,0,0,-1,1,794
1,1,0,1,0,1,789
-1,0,1,1,1,1,764
1,0,-3,1,-3,1,758
0,0,0,1,-4,0,742
3,0,-3,0,-3,0,738
0,0,-2,1,-4,0,735
4,0,0,0,0,0,727
1,0,-1,0,-1,0,714
-1,1,1,0,1,0,713
0,0,0,0,1,1,699
0,0,1,1,2,1,697
0,0,2,0,2,1,666
-3,0,2,0,2,0,661
2,0,0,1,0,1,625
2,1,-2,1,-2,1,607
0,1,2,1,2,1,602
1,0,-3,0,-3,0,595
-4,0,0,0,0,0,592
-2,0,1,1,1,1,592
0,1,1,1,1,1,591
3,1,-1,0,-1,0,579
0,0,-1,1,-4,0,574
1,0,0,1,0,1,541
0,0,3,0,3,0,539
1,0,-2,1,-2,1,535
2,1,-4,0,-4,0,534
1,1,-1,1,-1,1,533
-1,1,-3,1,-3,1,531
3,0,-2,1,-2,1,531
0,1,-2,1,-2,1,520
-1,0,2,1,2,1,516
4,1,-4,1,-4,1,513
0,0,1,0,1,1,504
2,0,-1,0,-1,0,496
-3,1,3,1,3,1,494
0,1,-2,0,-2,0,488
0,0,-1,1,2,1,487
-4,0,1,1,1,1,485
-1,0,-2,0,-2,0,484
0,0,-1,0,-2,1,458
-4,1,1,1,1,1,454
2,0,-2,0,-2,0,451
-2,1,-2,1,-2,1,432
0,0,3,1,3,1,420
-1,0,0,0,1,0,411
0,0,-3,0,-2,1,404
0,0,0,0,4,0,383
1,0,1,1,1,1,382
0,1,-4,0,-4,0,374
0,0,0,0,3,1,341
0,1,-3,1,-3,1,339
0,1,-1,0,-1,0,338
-1,0,-2,1,-2,1,333
2,1,0,1,0,1,321
-1,1,-2,1,-2,1,316
2,0,-2,1,-2,1,314
-3,0,4,0,4,0,311
-1,0,-1,1,-1,1,308
0,0,-3,1,0,0,288
-1,1,0,0,1,0,282
0,0,1,0,-1,0,279
0,0,-4,1,-1,0,275
3,0,-1,0,-1,0,270
3,0,-3,1,-3,1,269
4,1,-2,0,-2,0,265
0,0,-2,1,1,1,263
2,0,-3,1,-3,1,260
0,0,1,1,0,1,251
1,0,1,0,1,0,248
-2,1,0,0,1,0,247
1,1,0,0,-1,0,247
-1,0,-1,0,-1,0,246
-2,1,2,1,2,1,246
-3,0,0,0,3,0,244
0,0,-3,1,-2,1,243
0,1,1,0,1,0,241
4,1,0,1,0,1,239
2,1,2,1,-1,0,236
4,1,0,0,-3,1,229
1,1,-2,1,-2,1,229
3,0,-2,0,-2,0,229
2,0,1,0,1,0,228
-1,1,2,1,2,1,222
-2,1,4,0,4,0,221
3,0,0,1,0,1,216
-3,1,2,0,2,0,214
0,0,1,0,-2,0,214
0,0,-3,0,0,1,213
0,1,2,0,2,0,213
1,0,-3,1,0,1,212
-2,0,3,0,3,0,206
-1,1,-1,0,-1,0,205
0,1,-3,0,-3,0,204
1,1,1,1,1,1,201
0,0,1,0,-1,1,200
3,0,-4,0,-4,0,196
1,0,-2,0,-2,0,193
4,0,-4,0,-4,0,192
1,1,1,0,1,0,188
-2,0,2,1,-1,0,182
1,0,-4,0,-4,0,182
0,0,-1,0,0,1,181
-3,0,1,1,3,1,180
2,1,-2,0,-2,0,178
0,0,4,0,2,1,178
0,1,-1,1,-1,1,177
-2,1,3,0,3,0,177
-1,0,2,0,2,0,177
3,1,0,1,0,1,173
3,1,-2,1,-2,1,173
-2,0,1,0,1,0,173
-1,0,0,1,0,1,171
-2,0,-1,1,-1,1,169
0,0,1,0,2,1,168
0,0,3,0,-1,1,168
0,0,4,0,4,1,167
-2,1,2,0,2,0,167
3,1,-3,0,-3,0,164
0,0,-3,0,1,0,159
2,1,1,0,1,0,158
-2,1,1,0,1,0,158
4,1,-1,0,-1,0,156
0,0,0,1,0,0,156
-3,0,1,0,1,0,155
-1,1,-3,1,0,1,155
3,0,1,0,1,0,155
2,0,0,0,1,0,154
2,0,1,1,1,1,153
3,0,0,0,-3,1,151
0,1,-4,1,-4,1,150
2,0,-1,0,-2,0,148
-4,1,2,0,2,0,146
2,1,-1,1,-1,1,145
0,1,0,0,1,0,143
2,0,-3,0,-3,0,142
0,1,3,0,3,0,142
4,1,-4,0,-4,0,141
0,0,1,0,0,1,137
-2,1,0,1,0,1,135
0,1,0,0,-4,1,134
-1,1,-2,0,-2,0,134
0,0,4,0,2,0,134
2,1,-3,1,-3,1,133
1,0,0,0,1,0,133
1,1,-3,1,-3,1,132
1,1,-3,0,-3,0,132
3,1,-1,0,-2,0,128
-3,1,4,0,4,0,128
4,0,-1,0,-1,0,124
2,1,0,0,-4,1,123
-2,1,1,1,3,1,122
-1,0,-3,1,-3,1,122
2,0,-1,1,-1,1,121
3,1,1,0,1,0,121
0,0,0,0,2,1,121
1,0,-1,1,-1,1,121
4,0,-2,1,-2,1,121
0,0,-1,1,-1,0,121
-3,1,3,0,3,0,120
-1,0,2,1,-1,0,119
-2,1,-1,0,-1,0,119
1,1,3,1,3,1,118
-3,1,0,0,3,0,118
-4,1,4,0,4,0,117
-4,0,4,0,4,0,115
-2,0,0,0,2,0,114
1,1,-2,0,-2,0,114
4,1,-2,1,-2,1,113
-1,0,-3,0,-3,0,112
-2,0,-1,0,-1,0,111
0,1,4,0,4,0,111
2,1,-1,0,-2,0,111
0,0,-2,0,1,0,110
1,0,0,0,-1,0,109
2,1,-4,1,-4,1,108
1,1,-4,0,-4,0,108
-2,0,0,1,0,1,107
0,0,1,1,-2,0,107
0,1,0,0,0,1,105
3,0,0,0,-4,1,105
3,0,0,0,-3,0,104
-2,1,3,1,3,1,102
-2,0,-2,1,-2,1,101
1,0,0,0,-2,0,101
2,1,2,0,2,0,100
3,0,0,0,-1,0,100
1,0,-4,1,-4,1,99
-2,0,0,0,3,0,99
4,1,0,0,-4,1,98
0,0,0,0,-4,0,98
-1,0,-2,1,-2,0,97
1,1,2,1,2,1,95
-2,1,-1,1,-1,1,95
2,0,0,0,-4,1,94
-1,1,2,0,2,0,92
0,0,-2,1,1,0,92
1,0,2,0,2,0,92
0,1,0,0,-3,1,92
2,1,1,1,1,1,91
-1,1,0,0,3,0,91
-3,0,0,1,0,1,90
-3,0,0,0,0,1,90
-3,1,0,1,0,1,89
0,0,-3,0,-1,1,89
-1,0,3,1,3,1,87
2,0,2,1,2,1,85
1,0,0,1,-2,1,84
-3,0,3,1,3,1,83
2,0,-4,1,-4,1,83
2,1,-3,0,-3,0,82
-1,1,-3,0,-3,0,82
-3,0,0,0,1,0,81
1,1,-4,1,-4,1,81
0,0,-3,1,-1,0,80
0,1,-1,0,-2,0,80
1,0,1,1,3,1,79
4,0,-4,1,-4,1,79
0,1,3,1,3,1,79
0,0,-2,1,-1,1,74
-1,1,3,0,3,0,74
-1,0,1,1,2,1,74
4,0,0,1,0,1,74
-1,0,3,0,3,0,73
4,1,-1,1,-1,1,72
0,1,0,0,2,0,72
-1,1,-1,1,-1,1,72
3,0,0,1,-2,1,71
3,1,0,0,-2,0,71
2,0,-4,0,-4,0,71
1,1,2,0,2,0,71
2,1,0,0,-1,0,71
-1,0,0,0,2,0,71
0,1,2,1,-1,0,70
3,0,0,0,-2,0,70
0,1,0,0,-1,0,70
-2,0,1,1,3,1,70
3,0,-2,1,-4,0,70
-4,1,0,0,3,0,66
3,1,-3,1,0,1,65
-3,1,1,0,1,0,65
-1,1,4,0,4,0,65
2,0,0,0,-2,0,65
-2,0,0,0,1,0,64
1,0,0,0,-4,1,63
-2,1,0,0,3,0,63
-1,0,0,0,-1,0,62
0,1,0,0,-3,0,62
1,0,0,0,-3,1,62
0,1,0,0,-2,0,61
2,0,-3,1,0,1,61
-3,0,2,1,2,1,60
0,1,0,0,3,0,60
4,0,-1,1,-1,1,59
-2,0,3,1,3,1,59
4,0,-2,0,-2,0,59
1,0,-1,0,-2,0,58
0,0,4,0,1,0,57
0,1,0,1,-4,0,56
-3,0,1,0,1,1,56
3,0,-3,1,0,1,56
3,1,-1,1,-1,1,56
-2,1,0,0,2,0,55
-4,0,3,0,3,0,55
1,1,0,0,0,1,55
1,0,-1,0,-2,1,54
-2,0,0,0,0,1,54
1,1,0,1,-2,1,53
1,1,0,0,-4,1,53
3,1,-4,0,-4,0,53
2,1,0,1,-2,1,53
-3,1,2,1,2,1,52
0,1,-3,1,0,1,51
-2,0,4,0,4,0,51
0,1,-2,1,-4,0,51
1,0,0,0,0,1,50
-4,1,3,1,3,1,50
0,0,-1,0,-3,0,50
-4,0,2,0,2,0,50
2,0,2,0,2,0,49
4,1,-1,0,-2,0,49
1,1,0,0,3,0,48
0,0,0,1,3,1,48
1,0,2,1,2,1,48
3,0,0,0,1,0,48
1,1,3,0,3,0,48
-1,0,0,0,-1,1,48
2,0,0,0,0,1,48
0,1,-1,1,-4,0,47
2,1,0,1,-4,0,47
0,1,-2,1,-2,0,47
0,0,-2,0,-2,1,47
-1,1,0,0,0,1,46
2,1,0,0,2,0,46
-1,1,3,1,3,1,45
2,1,-1,0,-2,1,45
-1,0,0,0,3,0,45
0,1,0,1,-2,1,45
0,0,-1,0,-4,0,44
4,0,0,0,-3,1,44
3,1,0,0,1,0,44
2,1,0,0,1,0,44
-1,1,-2,1,-2,0,44
3,1,0,0,-3,1,43
-1,0,0,0,-2,1,43
2,1,0,0,-2,1,43
4,0,0,0,-4,1,42
-4,1,0,1,0,1,42
-3,1,-1,1,-1,1,42
2,0,-2,1,-2,0,42
-4,0,0,1,0,1,41
2,0,0,1,-4,0,41
-4,0,2,1,2,1,41
-1,1,1,1,2,1,41
2,0,0,0,-3,1,40
0,0,2,1,-2,1,40
-2,0,0,0,-2,1,40
1,0,0,0,-3,0,40
-2,1,0,0,0,1,40
-3,1,0,0,0,1,40
-1,0,0,0,0,1,39
4,1,-2,1,-4,0,39
2,1,0,0,-3,0,39
